index,reason,prediction,label
0,"The text criticizes Trump for not acknowledging a slain Capitol Hill policeman and not ordering the White House flag to be flown at half-mast, implying a failure in social responsibility (I12: Social Responsibility) and a lack of result justice (I11: Result Justice) in honoring the officer. Other dimensions (I1-I10) are unrelated as the text focuses on ethical and procedural accountability rather than political regime, economic policies, cultural values, or other listed dimensions.","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0]"
1,"The text discusses Bangladesh's stance on the UN resolution regarding the Russia-Ukraine conflict, emphasizing a desire for peace and criticizing the resolution as being focused on blaming Russia rather than ending the war. This relates to **I8 (Diplomatic Strategy)** as it reflects a neutral or balanced approach to international engagement (neither purely globalist nor isolationist, hence labeled as Center). It also relates to **I9 (Military Force)** by advocating for peace over militarism (aligning with Pacifism, labeled as Right). Other dimensions (I1-I7, I10-I12) are unrelated to the text's content.","[0, 0, 0, 0, 0, 0, 0, 2, 3, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0]"
2,"The text criticizes progressives for pushing an 'insidious identity politics ideology' leading to a border crisis, particularly opposing the notion that 'no one is illegal.' This relates to:
- **I5 (Ethical Pursuit)**: The critique of progressive stances on immigration aligns with Ethical Conservatism (Right), as it opposes liberal views on immigration and identity politics.
- **I7 (Cultural Value)**: Opposition to identity politics suggests a preference for Individualism (Right) over Collectivism.
- **I8 (Diplomatic Strategy)**: Blaming open-border policies for a crisis reflects Isolationism (Right), rejecting globalist approaches.
- **I10 (Social Development)**: The text implies disapproval of rapid progressive-driven changes, favoring Reformism (Right) over revolutionary shifts.
- **I12 (Personal Right)**: Emphasizing border control over 'no one is illegal' prioritizes Social Responsibility (Left), as it stresses societal obligations over individual rights.
Other dimensions (I1, I2, I3, I4, I6, I9, I11) are unrelated references.","[0, 0, 0, 0, 3, 0, 3, 3, 0, 3, 0, 1]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0]"
3,"The text discusses Russia's role as a major exporter of resources and the financial inflow to Putin, focusing on economic aspects of trade and revenue. It does not explicitly address ideological stances related to political regime, state structure, ethical values, or other dimensions. The content is factual and descriptive, lacking direct references to the ideological positions defined in the detection dimensions.","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
4,"The text discusses the user's personal decision to stop having sex, criticizing men's intentions as solely focused on sexual desires rather than genuine affection. This relates to **I5 (Ethical Pursuit)**. The stance aligns with *Ethical Conservatism* (Right), as it implies a critique of sexual liberation and reflects adherence to traditional moral norms (supported by the mention of 'My mama was right'). Other dimensions (I1-I4, I6-I12) are unrelated to the text's focus on personal ethical choices and gender dynamics.","[0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0]"
5,"The text sarcastically criticizes bipartisanship, implying skepticism towards the effectiveness of political cooperation (Republicans and Democrats working together). This relates to I10 (Social Development) as the critique suggests a preference for more direct or revolutionary action over gradual reformist approaches through bipartisan efforts. Other dimensions are unrelated as the text does not address economic systems, state structure, ethical issues, etc.","[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0]","[0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
6,"The text emphasizes women's equality and human rights, advocating for social, cultural, and political change. This relates to I4 (Economic Equality) as it supports outcome equality for women. It aligns with I5 (Ethical Liberalism) by promoting gender equality and social progress. The focus on collective advocacy for systemic change connects to I7 (Collectivism). The call for direct action for social goals reflects I10 (Revolutionism). The emphasis on fair treatment (result justice) relates to I11 (Result Justice). Prioritizing social responsibility over individual rights ties to I12 (Social Responsibility). Other dimensions (I1, I2, I3, I6, I8, I9) are unrelated as the text does not address political regimes, state structures, economic systems, church-state relations, diplomacy, or military strategies.","[0, 0, 0, 1, 1, 0, 1, 0, 0, 1, 1, 1]","[0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 3]"
7,"The text emphasizes a pro-life culture linked to traditional family values, which relates to Ethical Pursuit (I5). The stance supports restricting individual behavior (e.g., abortion) based on moral norms, aligning with Ethical Conservatism (Right). Other dimensions (political regime, economy, etc.) are unrelated as the focus is on cultural and ethical norms.","[0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0]"
8,"The text discusses Russia's use of state TV to spread disinformation about Ukraine, highlighting central control over media (I2: Centralism - Left) and promoting a collective narrative (I7: Collectivism - Left). The disinformation campaign serves a diplomatic strategy aimed at influencing international perceptions (I8: Globalism - Left). The accusation of bio-weapons may justify militaristic actions (I9: Militarism - Left). Other dimensions (I1, I3-I6, I10-I12) are unrelated as the text does not address economic systems, ethical values, church-state relations, social development, justice, or personal rights.","[0, 1, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0]"
9,"The text discusses the Employee Retirement Income Security Act (ERISA), which regulates private pension benefits and establishes tax-deductible retirement accounts (e.g., IRA, 401k). Key ideological dimensions include:
- **I1 (Political Regime)**: Supports private ownership of pensions (Capitalism, Right-3).
- **I3 (Economic Orientation)**: Government regulates but preserves market-driven retirement systems (Market Economy, Right-3).
- **I4 (Economic Equality)**: Focuses on ensuring access to retirement benefits (Opportunity Equality, Right-3).
- **I7 (Cultural Value)**: Emphasizes individual retirement savings (Individualism, Right-3).
- **I10 (Social Development)**: Legislative reform to improve retirement systems (Reformism, Right-3).
- **I11 (Justice Orientation)**: Establishes procedural safeguards for pension fairness (Procedural Justice, Right-3).
- **I12 (Personal Right)**: Protects individual retirement rights (Individual Right, Right-3).
Other dimensions (I2, I5, I6, I8, I9) are unrelated to the text.","[3, 0, 3, 3, 0, 0, 3, 0, 0, 3, 3, 3]","[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0]"
