index,reason,prediction,label
0,"The text criticizes Trump for not acknowledging the slain Capitol Hill policeman and not ordering the White House flag to be flown at half mast, which reflects a stance on ethical pursuit (I5) and personal right (I12). The text implies a disapproval of Trump's actions, suggesting a left-leaning stance on ethical liberalism and social responsibility. Other dimensions are unrelated as the text does not discuss political regime, state structure, economic orientation, economic equality, church-state relations, cultural value, diplomatic strategy, military force, social development, or justice orientation.","[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0]"
1,"The text discusses Bangladesh's stance on the Russia-Ukraine conflict, emphasizing a desire for peace and suggesting that the draft resolution was more about blaming Russia than ending the war. This relates to the dimension of Diplomatic Strategy (I8), where Bangladesh's approach appears to lean towards Globalism (left) by engaging with international perspectives but also shows a cautious stance that might not fully align with either extreme. Other dimensions are unrelated as the text does not address them.","[0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0]"
2,"The text criticizes progressives and activists for pushing an identity politics ideology that opposes strict immigration controls, which aligns with a right-leaning stance on cultural values (I7) and personal rights (I12). The mention of 'no one is illegal' suggests a collectivist approach to immigration, which is left-leaning, but the overall tone is critical of this stance, indicating a right-leaning perspective. The text does not directly address other dimensions.","[0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 3]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0]"
3,"The text discusses Russia's economic activities, particularly its exports of oil, gas, precious metals, and grain, and its significant role in the European Union's energy imports. This relates to the economic orientation dimension (I3) as it highlights a market-driven economy where economic decisions are guided by interactions of individuals and companies. The text does not directly address other dimensions such as political regime, state structure, economic equality, ethical pursuit, church-state relations, cultural value, diplomatic strategy, military force, social development, justice orientation, or personal right.","[0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
4,"The text primarily relates to the dimension of Ethical Pursuit (I5), where the speaker expresses a stance that aligns with Ethical Conservatism by indicating a personal decision to abstain from sex based on perceived negative attitudes from men towards women. This reflects a conservative view on sexual behavior. Other dimensions are unrelated as the text does not discuss political regime, state structure, economic orientation, etc.","[0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0]"
5,"The text expresses a critical view towards bipartisanship, suggesting skepticism about the effectiveness of political cooperation in times of crisis. This relates to the dimension of Political Regime (I1) and State Structure (I2), where the stance leans towards a critique of the current political system without explicitly endorsing socialism or capitalism, centralism or federalism. The mention of prayer and invoking 'Lord in Heaven' hints at a preference for integrating religious values into political discourse, which relates to Church-State Relations (I6), leaning towards Caesaropapism. The text does not provide clear stances on other dimensions, making them unrelated.","[0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0]","[0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
6,"The text emphasizes the importance of women's equality and human rights, which relates to the dimension of Economic Equality (I4) and Personal Right (I12). It advocates for social, cultural, and political change, indicating a stance towards Outcome Equality (I4) and Individual Right (I12). Other dimensions are unrelated as the text does not discuss political regime, state structure, economic orientation, ethical pursuit, church-state relations, cultural value, diplomatic strategy, military force, social development, or justice orientation.","[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 3]","[0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 3]"
7,"The text primarily relates to the dimension of Ethical Pursuit (I5), as it discusses the importance of marriage and family in the context of a pro-life culture, which aligns with Ethical Conservatism. The text does not provide sufficient information to determine stances on other dimensions.","[0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0]"
8,"The text discusses the use of media for promoting disinformation, which is related to the dimension of Diplomatic Strategy (I8) as it involves international perspectives and foreign policy. The text does not directly address other dimensions such as Political Regime, State Structure, Economic Orientation, Economic Equality, Ethical Pursuit, Church-State Relations, Cultural Value, Military Force, Social Development, Justice Orientation, or Personal Right. The stance in the related dimension (I8) is critical of the use of media for disinformation, which does not clearly align with either Globalism or Isolationism, hence it is marked as Center.","[0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0]"
9,"The text discusses the Employee Retirement Income Security Act (ERISA), which involves federal regulation and insurance of private pension benefits, and the establishment of tax-deductible IRA and 401k plans. This primarily relates to the dimension of Political Regime (I1) and Economic Orientation (I3). The text suggests a capitalist approach (I1) as it deals with private pension benefits and tax-deductible plans, which are characteristic of private ownership and market-driven economic decisions. It also implies a market economy (I3) as the regulation supports private sector retirement plans rather than government-controlled ones. Other dimensions are unrelated as the text does not address state structure, economic equality, ethical pursuits, church-state relations, cultural values, diplomatic strategy, military force, social development, justice orientation, or personal rights.","[3, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0]"
