index,reason,prediction,label
0,"The text is a critique of Donald Trump for not publicly honoring a slain Capitol Hill police officer (e.g., by mentioning him or lowering the White House flag). It reflects disapproval toward Trump's conduct and questions support for him within law enforcement. However, it does not express positions on the specified ideological dimensions: it does not address ownership models (I1), state structure (I2), economic systems (I3), equality frameworks (I4), cultural/ethical issues like sexual morality (I5), church-state relations (I6), collectivism vs individualism (I7), foreign policy scope (I8), international use of force (I9), strategies for social change (I10), theories of justice (I11), or a clear stance on personal rights vs social responsibility (I12). Therefore, all dimensions are unrelated.","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0]"
1,"The text comments on a UN General Assembly/Security Council draft resolution about the Russia–Ukraine conflict, criticizing it for focusing on blame rather than ending the war, and affirming that Bangladesh wants peace. This engages directly with international institutions and multilateral diplomacy, indicating a globalist orientation (I8). The explicit preference for peace over warfare signals a pacifist stance (I9). No positions are expressed about ownership of production, state structure, economic systems, equality, ethics, church-state relations, cultural values, methods of social change, justice frameworks, or personal rights, so those dimensions are unrelated.","[0, 0, 0, 0, 0, 0, 0, 1, 3, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0]"
2,"The text criticizes progressive 'identity politics' and the slogan 'no one is illegal,' blaming such views for a 'BidenBorderCrisis.' This indicates a restrictionist immigration stance emphasizing rule of law and enforcement over expansive rights claims for migrants. That maps to Procedural Justice (I11: favoring rule-based enforcement) and Social Responsibility (I12: prioritizing duties/order over individual rights claims). The explicit rejection of 'identity politics' suggests opposition to group-based collectivist framing, aligning with Individualism (I7). Other dimensions (I1, I2, I3, I4, I5, I6, I8, I9, I10) are not directly addressed by the text.","[0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 3, 1]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0]"
3,"The text is a factual/critical statement about Russia’s commodity exports and the EU’s dependence on Russian energy, noting revenue flowing to Putin. It does not advocate policy changes or value positions on ownership, state structure, economic planning, equality, ethics, religion-state relations, culture, militarism, social change strategy, justice, or individual rights. It touches on international interdependence (foreign trade) but without endorsing either globalism or isolationism, making it related yet neutral on Diplomatic Strategy (I8). All other dimensions are unrelated.","[0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
4,"The text is a personal statement about the speaker's experiences with men and a personal decision to stop having sex. It does not express positions on public ownership vs private ownership (I1), state structure (I2), economic systems (I3), equality frameworks (I4), church-state relations (I6), collectivism vs individualism as a societal value (I7), foreign policy (I8), use of military force (I9), paths of social change (I10), justice frameworks (I11), or societal emphasis on rights vs responsibilities (I12). While it references sexual behavior, it does not advocate a societal ethical stance (e.g., promoting sexual liberation or moral restriction) and thus does not clearly map to Ethical Pursuit (I5). Therefore, all dimensions are marked as unrelated.","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0]"
5,"The text is a sarcastic critique of bipartisanship during a crisis and uses a religious phrase rhetorically. It does not convey explicit positions on any of the listed ideological dimensions: no stance on public vs private ownership (I1), central vs federal power distribution (I2), command vs market economy (I3), outcome vs opportunity equality (I4), ethical liberalism vs conservatism (I5), church-state separation vs unity (I6; the prayer is rhetorical, not a policy stance), collectivism vs individualism (I7), globalism vs isolationism (I8), militarism vs pacifism (I9), revolutionism vs reformism (I10), result vs procedural justice (I11), or social responsibility vs individual rights (I12). Therefore, all dimensions are unrelated.","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
6,"The text focuses on advocacy for women’s equality and human rights, plus support services for abuse survivors. It does not address economic systems (I1, I3), state structure (I2), church–state relations (I6), cultural value orientation (I7), foreign policy (I8), militarism/pacifism (I9), or economic equality specifically (I4). It implies a reformist strategy through education and advocacy rather than radical upheaval (I10=Reformism). The emphasis on equality and fair treatment aligns with a result-oriented justice perspective (I11=Result Justice). The explicit mention of human rights places emphasis on protecting individual rights (I12=Individual Right). Ethical orientation toward progressive social change is suggested but without explicit stances on sexual morality issues listed (I5 considered related but neutral/unspecified).","[0, 0, 0, 0, 2, 0, 0, 0, 0, 3, 1, 3]","[0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 3]"
7,"The text expresses a pro-life stance tied to traditional marriage and family norms. This directly maps to Ethical Pursuit (I5) as ethical conservatism, favoring restrictions on abortion and endorsing traditional family values. It also emphasizes communal/familial norms over individual autonomy, indicating Collectivism (I7). Furthermore, it prioritizes social duties and protecting unborn life over individual reproductive choice, reflecting Social Responsibility (I12). While the Supreme Court is mentioned, the text does not address church-state unity (I6), legal procedural fairness vs outcomes (I11), methods of social change (I10), or any positions on economic systems (I1, I3, I4), state structure (I2), foreign policy (I8), or military force (I9); these are unrelated.","[0, 0, 0, 0, 3, 0, 1, 0, 0, 0, 0, 1]","[0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0]"
8,"The text criticizes Russian state TV for using Tucker Carlson clips to spread disinformation about Ukraine. This is mainly about international relations and information warfare, touching on Diplomatic Strategy (I8) insofar as it references cross-border propaganda and alignment with Ukraine against Russian narratives. However, it does not explicitly advocate for global engagement or avoidance of entanglements, so the stance is related but not clearly globalist or isolationist (Center). All other dimensions (I1, I2, I3, I4, I5, I6, I7, I9, I10, I11, I12) are not addressed: there is no discussion of ownership models, state structure, economic systems or equality, ethical/moral norms, church-state relations, individual vs collective values, military force preferences, approaches to social change, conceptions of justice, or rights vs responsibilities.","[0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0]"
9,"The text is a factual, historical note about the 1974 ERISA law, listing what it did (federal regulation/insurance of private pensions; creation of tax-deductible IRA and 401(k)). It contains no evaluative or prescriptive language indicating support or opposition to any ideological stance. While it references federal regulation and private retirement accounts, these mentions are descriptive rather than advocacy and do not convey positions on capitalism vs. socialism (I1), centralism vs. federalism (I2), command vs. market economy (I3), or any other listed dimensions. Therefore, all dimensions are unrelated.","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0]"
10,"The text is a historical description highlighting past restrictions on women's rights in the UK: abortion was illegal until the 1960s, contraception was heavily restricted until 1967, and women couldn’t open bank accounts independently until 1975. This directly touches Ethical Pursuit (I5) because it references abortion and contraception—issues at the core of ethical liberalism vs conservatism—but the text itself does not explicitly endorse either liberalization or restriction, making it related but neutral. It also relates to Personal Right (I12) by foregrounding individual autonomy (women opening bank accounts in their own right), again without a clear normative stance, so it’s related but neutral. Other dimensions (political regime, state structure, economic orientation/equality, church-state relations, cultural value, diplomacy, militarism, social development strategy, justice orientation) are not addressed explicitly and remain unrelated.","[0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 2]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 3]"
11,"The text advocates that only Americans should receive American vaccines and uses hashtags emphasizing border security and illegal immigration. This reflects a nationalist, inward-focused stance: related to I8 (Diplomatic Strategy), it suggests avoiding international distribution/entanglement and prioritizing domestic needs, aligning with Isolationism (Right). It also bases allocation on membership in the national collective (Americans), prioritizing the in-group over universal individual claims, which aligns with Collectivism in I7 (Left on that dimension). Other dimensions (I1 Political Regime, I2 State Structure, I3 Economic Orientation, I4 Economic Equality, I5 Ethical Pursuit, I6 Church-State Relations, I9 Military Force, I10 Social Development, I11 Justice Orientation, I12 Personal Right) are not explicitly addressed by the statement.","[0, 0, 0, 0, 0, 0, 1, 3, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 3, 0]"
12,"The text uses pejorative phrasing like ""pro-abort"" and criticizes abortion rights activism, aligning with Ethical Conservatism (I5 Right). It also dismisses protest tactics around a justice’s home and the Supreme Court as ineffective (""as useful as invisible cuffs""; ""Enough is enough""), signaling opposition to direct, disruptive action and a preference for non-activist, incremental approaches—consistent with Reformism (I10 Right). The text does not address ownership of production (I1), state structure (I2), economic decision-making (I3), equality frameworks (I4), church-state relations (I6), cultural individualism/collectivism (I7), foreign policy (I8), militarism (I9), justice decision standards (I11), or a general rights-versus-responsibilities framing (I12).","[0, 0, 0, 0, 3, 0, 0, 0, 0, 3, 0, 0]","[0, 0, 0, 0, 2, 0, 0, 0, 0, 3, 0, 2]"
13,"The text expresses dissatisfaction with the current U.S. President’s performance during COVID-19 and a desire for a new president. It does not articulate positions on public vs. private ownership (I1), central vs. federal power distribution (I2), command vs. market economy (I3), outcome vs. opportunity equality (I4), liberal vs. conservative ethics (I5), church-state relations (I6), collectivism vs. individualism (I7), globalism vs. isolationism (I8), militarism vs. pacifism (I9), revolution vs. reform (I10) beyond a vague desire for leadership change, result vs. procedural justice (I11), or social responsibility vs. individual rights (I12). Therefore, all dimensions are unrelated.","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0]"
14,"The text welcomes a UN-mediated humanitarian truce in Yemen that halts military operations and reopens Sana’a airport. This expresses support for international involvement and multilateral mechanisms (I8: Globalism) and favors a cessation of hostilities (I9: leaning toward Pacifism). No stance is given on ownership of production (I1), state structure (I2), economic system (I3), distributive equality (I4), cultural/ethical issues (I5, I7), church-state relations (I6), domestic change strategy (I10), justice orientation (I11), or personal rights vs responsibilities (I12), so these are unrelated.","[0, 0, 0, 0, 0, 0, 0, 1, 3, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 1, 3, 0, 0, 0]"
